customerID,Churn,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PhoneService,MultipleLines,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,gender,SeniorCitizen,Partner,Dependents,tenure
0002-ORFBO,No,DSL,No,Yes,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,65.6,593.3,Female,0,Yes,Yes,9
0003-MKNFE,No,DSL,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,59.9,542.4,Male,0,No,No,9
0004-TLHLJ,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,73.9,280.85,Male,0,No,No,4
0011-IGKFF,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.0,1237.85,Male,1,Yes,No,13
0013-EXCHZ,Yes,Fiber optic,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,Female,1,Yes,No,3
0013-MHZWF,No,DSL,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.4,571.45,Female,0,No,Yes,9
0013-SMEOE,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),109.7,7904.25,Female,1,Yes,No,71
0014-BMAQU,No,Fiber optic,Yes,No,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.65,5377.8,Male,0,Yes,No,63
0015-UOCOJ,No,DSL,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,48.2,340.35,Female,1,No,No,7
0016-QLJIS,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,Female,0,Yes,Yes,65
0017-DINOC,No,DSL,Yes,No,No,Yes,Yes,No,No,No phone service,Two year,No,Credit card (automatic),45.2,2460.55,Male,0,No,No,54
0017-IUDMW,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,Female,0,Yes,Yes,72
0018-NYROU,No,Fiber optic,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.95,351.5,Female,0,Yes,No,5
0019-EFAEP,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.3,7261.25,Female,0,No,No,72
0019-GFNTW,No,DSL,Yes,Yes,Yes,Yes,No,No,No,No phone service,Two year,No,Bank transfer (automatic),45.05,2560.1,Female,0,No,No,56
0020-INWCK,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,Female,0,Yes,Yes,71
0020-JDNXP,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No phone service,One year,No,Mailed check,61.25,1993.2,Female,0,Yes,Yes,34
0021-IKXGC,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.1,72.1,Female,1,No,No,1
